1.000,1193.000,5.000,978300760.000
1.000,661.000,3.000,978302109.000
1.000,914.000,3.000,978301968.000
1.000,3408.000,4.000,978300275.000
1.000,2355.000,5.000,978824291.000
1.000,1197.000,3.000,978302268.000
1.000,1287.000,5.000,978302039.000
1.000,2804.000,5.000,978300719.000
1.000,594.000,4.000,978302268.000
1.000,919.000,4.000,978301368.000
1.000,595.000,5.000,978824268.000
1.000,938.000,4.000,978301752.000
1.000,2398.000,4.000,978302281.000
1.000,2918.000,4.000,978302124.000
1.000,1035.000,5.000,978301753.000
1.000,2791.000,4.000,978302188.000
1.000,2687.000,3.000,978824268.000
1.000,2018.000,4.000,978301777.000
1.000,3105.000,5.000,978301713.000
1.000,2797.000,4.000,978302039.000
1.000,2321.000,3.000,978302205.000
1.000,720.000,3.000,978300760.000
1.000,1270.000,5.000,978300055.000
1.000,527.000,5.000,978824195.000
1.000,2340.000,3.000,978300103.000
1.000,48.000,5.000,978824351.000
1.000,1097.000,4.000,978301953.000
1.000,1721.000,4.000,978300055.000
1.000,1545.000,4.000,978824139.000
1.000,745.000,3.000,978824268.000
1.000,2294.000,4.000,978824291.000
1.000,3186.000,4.000,978300019.000
1.000,1566.000,4.000,978824330.000
1.000,588.000,4.000,978824268.000
1.000,1907.000,4.000,978824330.000
1.000,783.000,4.000,978824291.000
1.000,1836.000,5.000,978300172.000
1.000,1022.000,5.000,978300055.000
1.000,2762.000,4.000,978302091.000
1.000,150.000,5.000,978301777.000
1.000,1.000,5.000,978824268.000
1.000,1961.000,5.000,978301590.000
1.000,1962.000,4.000,978301753.000
1.000,2692.000,4.000,978301570.000
1.000,260.000,4.000,978300760.000
1.000,1028.000,5.000,978301777.000
1.000,1029.000,5.000,978302205.000
1.000,1207.000,4.000,978300719.000
1.000,2028.000,5.000,978301619.000
1.000,531.000,4.000,978302149.000
